positions,overall_rating,value_euro,short_passing,positioning,composure,velocidade,finalizacao,drible,fisico
ST,82,22000000.0,78,83,81,81.0,77.83333333333333,76.4,81.0
"CF,ST",82,20000000.0,80,83,82,84.0,70.16666666666667,88.0,59.5
"CAM,RW",82,22500000.0,82,81,82,81.0,72.33333333333333,83.4,78.0
"RB,RWB",82,18500000.0,79,75,73,75.5,64.33333333333333,76.8,76.5
ST,82,23500000.0,78,78,81,77.5,81.33333333333333,71.0,76.0
"CM,LW",82,22000000.0,84,78,82,76.0,76.0,80.8,75.0
"LB,LWB,LM",81,18000000.0,77,71,75,86.0,63.833333333333336,77.8,80.5
ST,81,21000000.0,71,83,72,78.0,79.33333333333333,75.8,82.0
"ST,LW",81,22000000.0,76,83,76,77.5,77.5,79.0,79.5
ST,81,22000000.0,75,83,72,77.5,78.16666666666667,75.6,75.5
"RM,RW,ST",80,22000000.0,72,78,78,90.5,73.83333333333333,82.8,69.5
"LW,RW",80,20500000.0,76,77,76,88.5,67.83333333333333,82.0,78.5
ST,80,21000000.0,69,84,75,77.5,75.83333333333333,77.4,75.5
"LW,LM,RW",80,21000000.0,80,80,70,73.5,65.0,78.0,65.5
"ST,LW,LM",80,21000000.0,75,79,78,84.5,71.83333333333333,78.8,77.5
ST,80,20500000.0,76,83,77,63.0,77.33333333333333,65.6,75.5
"LM,ST,RM",81,6000000.0,83,81,80,69.0,72.0,78.8,59.5
"RB,RWB",80,15500000.0,78,72,75,78.5,61.5,77.0,75.5
ST,80,17500000.0,75,80,86,79.5,78.33333333333333,74.4,83.5
ST,80,17500000.0,75,81,75,87.5,72.83333333333333,82.4,75.5
"RM,RW,LM",80,15000000.0,77,78,67,78.0,71.33333333333333,79.0,70.5
ST,80,12000000.0,81,80,86,65.0,80.66666666666667,75.8,76.0
ST,80,7000000.0,72,82,84,80.0,78.66666666666667,79.8,76.0
"CF,ST",80,9500000.0,83,82,79,65.0,74.5,83.8,62.0
ST,80,12000000.0,71,81,80,69.5,80.0,69.6,80.5
"RW,RM",79,17500000.0,79,76,74,80.0,64.16666666666667,79.8,63.5
ST,79,15500000.0,73,82,69,75.0,74.33333333333333,75.8,79.5
LWB,79,13500000.0,74,65,73,77.5,52.666666666666664,74.6,73.5
ST,79,13000000.0,67,82,78,80.5,77.66666666666667,74.0,76.5
"CAM,LW",79,15000000.0,78,73,75,78.5,70.33333333333333,81.0,63.0
"ST,CAM",79,13000000.0,75,77,76,81.0,78.83333333333333,75.8,78.0
ST,79,13000000.0,72,82,80,65.5,77.66666666666667,70.2,75.0
"CAM,LW",79,12500000.0,78,70,72,73.5,74.5,81.8,73.5
"ST,CF,CAM,LM",79,13500000.0,77,81,80,76.0,74.16666666666667,77.2,68.5
ST,79,12500000.0,71,86,83,67.5,79.0,73.8,75.0
"LW,RW",78,20500000.0,73,76,77,93.0,66.33333333333333,82.0,71.5
"LWB,LB,CB,LM",78,12500000.0,76,76,65,82.5,60.333333333333336,69.4,77.0
ST,79,6500000.0,77,80,69,74.0,77.0,70.4,67.0
ST,79,10000000.0,66,85,71,80.0,78.16666666666667,67.8,74.0
ST,79,10000000.0,68,83,82,64.5,76.83333333333333,66.8,73.0
LW,79,11000000.0,71,77,75,82.5,75.33333333333333,76.6,77.5
"LM,ST,RM",79,10000000.0,79,83,81,66.0,77.5,81.4,65.5
"ST,CAM",79,8000000.0,80,82,78,84.0,73.33333333333333,83.6,69.5
"CAM,ST",79,11000000.0,78,72,82,73.0,70.83333333333333,79.8,62.5
ST,79,6500000.0,69,83,78,63.5,79.16666666666667,78.8,67.0
"LM,RM,LW",78,14000000.0,81,75,72,80.0,56.666666666666664,79.2,73.0
"LWB,LM,LB",78,10500000.0,78,69,69,89.5,61.333333333333336,72.4,70.0
ST,78,14000000.0,70,82,76,63.0,76.83333333333333,70.2,77.0
"ST,CF,LM,CAM",78,14000000.0,78,78,67,81.0,74.66666666666667,80.6,68.0
"RB,RWB",78,11000000.0,79,69,78,75.0,61.5,74.2,74.0
"LM,LW,ST",78,10500000.0,77,76,74,84.0,68.66666666666667,80.2,65.5
"LB,LWB",78,10500000.0,80,76,76,76.5,66.5,76.6,74.5
"RWB,RB,RM",78,10500000.0,75,67,65,80.5,53.5,70.4,83.5
"ST,RW",78,11000000.0,67,81,75,87.5,74.66666666666667,78.8,58.5
"RM,RW",78,11000000.0,73,74,73,86.0,72.66666666666667,79.4,69.5
"RB,RW",78,8000000.0,75,78,75,84.0,59.833333333333336,76.0,83.0
ST,78,12000000.0,64,79,71,75.5,76.16666666666667,64.8,76.5
"ST,RM",78,10500000.0,75,78,75,76.5,76.66666666666667,75.6,69.0
"RM,ST",78,6500000.0,73,75,80,84.0,73.33333333333333,74.2,75.0
"RW,RWB",78,11000000.0,76,76,75,78.0,70.16666666666667,79.4,77.0
"CAM,RW",77,12000000.0,75,75,76,73.5,73.5,73.2,71.0
"ST,RM",77,9000000.0,69,77,77,92.0,72.16666666666667,76.2,72.5
"ST,RM",77,8000000.0,72,78,75,75.5,74.83333333333333,71.2,78.0
"RM,LM,RW,CAM",78,10000000.0,72,75,77,87.0,73.33333333333333,83.4,67.0
"ST,RM,RWB,LM",78,10500000.0,73,76,70,85.5,73.5,77.6,77.0
"RM,RW",78,10000000.0,74,71,76,90.0,74.0,77.8,75.5
ST,77,9000000.0,68,77,76,68.5,75.33333333333333,65.2,78.5
ST,77,5500000.0,77,82,79,42.5,78.83333333333333,70.0,64.0
"LM,LW",77,12000000.0,75,71,74,78.5,73.66666666666667,73.4,81.5
"CAM,ST,RM",77,8500000.0,79,67,71,80.0,67.16666666666667,77.4,68.5
ST,77,12000000.0,66,79,74,71.5,73.16666666666667,75.4,72.5
ST,77,9000000.0,64,80,80,73.0,71.33333333333333,64.8,80.5
"ST,CF",77,9500000.0,73,79,80,79.5,76.5,74.8,69.5
"ST,CAM",77,5500000.0,73,81,82,61.0,75.5,75.8,71.0
ST,77,10500000.0,67,82,72,64.0,76.33333333333333,66.6,75.0
"ST,RW",77,10500000.0,70,78,77,81.5,70.5,74.8,81.5
ST,77,4100000.0,66,85,82,68.0,78.0,78.6,54.5
ST,77,9000000.0,61,84,82,82.5,69.16666666666667,75.6,78.0
"RW,LW",77,9500000.0,75,80,75,76.5,76.83333333333333,76.4,69.0
"ST,LW",77,3200000.0,76,80,82,78.0,72.5,80.4,63.0
ST,77,11500000.0,66,80,74,88.5,71.33333333333333,76.8,69.0
ST,77,4700000.0,73,81,77,65.0,74.33333333333333,75.6,72.0
ST,77,8500000.0,65,79,78,63.0,76.83333333333333,65.0,76.5
"RWB,RM",77,10500000.0,76,67,62,86.5,48.0,77.8,67.0
"RB,RWB",77,8500000.0,75,71,69,78.5,66.66666666666667,76.8,74.0
"LM,CM,LW",77,8500000.0,74,75,71,86.0,69.5,79.4,64.0
ST,77,12500000.0,71,81,78,81.0,73.5,77.6,74.5
ST,77,11000000.0,68,80,77,68.5,74.83333333333333,71.4,78.0
"RB,RWB",77,9000000.0,71,66,77,77.0,45.0,71.0,78.0
"RWB,RB,RM",77,6000000.0,75,66,62,72.5,57.833333333333336,69.6,75.5
ST,77,11500000.0,62,80,71,85.5,74.0,71.2,75.5
"RB,RWB",77,10000000.0,73,60,71,76.5,49.833333333333336,69.0,76.5
"LM,LW,ST",76,7500000.0,72,75,64,82.0,71.66666666666667,71.8,83.5
ST,76,7500000.0,70,74,78,88.0,74.5,71.6,62.0
"CF,LW",76,14000000.0,70,76,80,80.5,69.83333333333333,79.8,73.0
"CAM,CM,RW",76,8000000.0,68,71,67,86.0,65.16666666666667,74.8,73.0
"CAM,LM,RW",76,10500000.0,75,68,65,74.5,67.66666666666667,76.8,53.0
"ST,RW,LW,CF",76,9000000.0,74,78,65,87.0,69.16666666666667,78.2,62.5
ST,76,8000000.0,68,83,79,62.5,76.5,70.8,71.0
ST,76,7000000.0,67,74,73,66.0,74.83333333333333,68.6,76.0
ST,76,8000000.0,64,73,70,63.5,74.5,63.6,76.5
"RW,RM",76,11000000.0,68,70,72,89.5,64.0,78.8,66.0
"LW,ST",76,10500000.0,70,77,69,88.0,73.0,74.8,66.5
"LW,RM",76,8000000.0,76,78,76,76.0,74.5,75.8,72.5
ST,76,8000000.0,62,80,78,58.0,78.33333333333333,66.8,66.5
"CAM,CF,ST",76,9000000.0,77,79,72,75.5,71.33333333333333,72.0,69.5
"CAM,CF",76,3400000.0,79,76,74,67.5,69.5,74.2,63.0
ST,76,4800000.0,73,84,82,30.5,77.16666666666667,58.0,60.0
ST,76,8000000.0,68,81,80,73.0,71.0,73.4,72.5
"CAM,CM,ST",76,7000000.0,78,71,78,71.0,66.66666666666667,75.8,66.0
LW,76,11000000.0,75,70,76,84.0,63.333333333333336,77.4,73.0
"ST,LM,RM",76,9000000.0,75,76,75,80.5,74.0,79.0,62.0
ST,76,9000000.0,68,82,72,69.0,73.16666666666667,68.2,79.5
ST,76,7500000.0,68,76,75,86.5,74.5,75.0,74.0
ST,76,8500000.0,73,74,69,76.5,74.0,76.4,74.5
"CAM,LW",76,8000000.0,74,75,74,75.0,69.83333333333333,75.6,72.0
"LWB,LB,LM,CDM",76,8000000.0,75,68,71,77.5,61.0,77.2,75.0
"ST,CF",76,9000000.0,72,75,73,70.0,71.16666666666667,65.6,80.5
"RM,RW,CM,CAM",76,12000000.0,74,77,78,76.0,67.83333333333333,71.2,70.0
"LB,RB,RWB",76,7000000.0,74,68,72,78.5,56.333333333333336,73.0,70.5
"RB,RWB,RM",76,6500000.0,77,69,68,78.0,57.0,79.2,71.0
ST,76,7500000.0,72,78,75,45.5,75.66666666666667,68.4,76.0
"LWB,LB,LM",76,6000000.0,75,66,73,70.5,62.333333333333336,69.6,76.0
"CAM,LM,RM,RW",76,10000000.0,75,75,75,83.0,68.66666666666667,76.2,74.5
"LB,LWB",75,5500000.0,73,68,73,79.0,58.333333333333336,74.0,72.5
ST,75,7000000.0,69,77,69,72.0,71.66666666666667,67.4,71.0
"LB,LWB",76,7500000.0,76,59,64,71.0,60.333333333333336,67.8,81.0
ST,76,9000000.0,70,78,76,76.5,72.66666666666667,75.0,77.5
"ST,LM",75,9500000.0,68,75,66,83.0,66.83333333333333,72.4,77.0
"LB,LWB",75,5500000.0,69,74,68,73.0,61.166666666666664,68.2,78.5
ST,75,8000000.0,64,78,70,59.5,76.33333333333333,68.6,75.0
ST,75,7000000.0,68,78,75,52.5,76.66666666666667,65.4,78.5
"RB,RWB",75,3700000.0,74,61,81,71.0,53.333333333333336,72.2,71.0
"LW,RW,CAM",75,8000000.0,72,70,72,89.5,65.5,80.2,63.0
"CF,ST,LW",75,8500000.0,74,77,74,78.5,67.33333333333333,76.2,76.0
ST,75,10000000.0,68,71,68,82.0,69.33333333333333,69.2,79.5
"LM,RW",75,8500000.0,72,73,68,84.5,61.0,80.4,56.0
"RW,LW,LM",75,6500000.0,76,74,76,80.0,67.66666666666667,78.0,64.0
"RWB,LB",75,1900000.0,76,70,78,68.0,65.16666666666667,73.0,72.0
LW,75,2900000.0,69,76,81,64.5,70.66666666666667,79.4,54.5
"CAM,CF",75,5000000.0,74,83,69,68.0,72.33333333333333,77.4,70.5
"ST,LW",75,7000000.0,64,77,74,74.0,72.0,72.2,78.0
"LM,ST",75,8000000.0,65,76,71,93.5,70.16666666666667,79.2,68.0
"LWB,LM",75,6000000.0,71,60,65,80.0,54.5,72.0,73.5
ST,75,5500000.0,77,77,76,67.0,74.0,71.2,71.5
"ST,LM,RM",75,8500000.0,74,78,69,76.0,70.0,74.4,67.0
"LW,CF",75,2900000.0,76,77,76,67.0,75.5,72.2,67.5
ST,75,8500000.0,62,75,68,83.5,70.66666666666667,73.8,72.5
"LW,RW",75,11000000.0,68,65,74,89.5,68.0,79.0,62.0
"ST,RW,LW,CAM",75,,75,82,79,77.5,69.0,79.2,48.0
LW,75,8000000.0,72,69,74,74.0,64.16666666666667,78.2,68.0
"CAM,CM,RW",75,9000000.0,77,78,76,70.5,62.0,78.6,52.5
"RW,RM",75,6500000.0,73,72,73,85.0,65.66666666666667,74.4,65.0
"LWB,LB,RB,RWB",75,6500000.0,68,58,62,87.0,42.333333333333336,71.0,72.5
"CM,RW,CAM",75,12000000.0,75,71,77,77.0,59.333333333333336,77.4,66.0
"RM,RW",75,11500000.0,70,70,74,87.5,59.5,76.0,52.0
ST,75,7000000.0,64,77,69,71.0,73.33333333333333,68.4,77.5
ST,75,11000000.0,64,77,73,76.0,71.16666666666667,67.2,72.5
"LB,LWB",75,6500000.0,69,59,67,80.0,49.5,68.2,80.5
"LM,LW",75,6500000.0,68,71,75,90.5,65.33333333333333,78.6,61.0
ST,75,8500000.0,68,78,70,56.5,74.83333333333333,61.8,77.0
ST,75,8000000.0,63,79,62,66.0,71.5,55.8,79.5
"LW,RW",75,11000000.0,69,73,80,86.5,65.83333333333333,80.4,69.5
"RM,LM,RW",75,7000000.0,68,73,67,90.0,69.16666666666667,74.8,73.5
"LM,RM,RW",74,7500000.0,72,67,68,78.5,60.0,74.6,64.5
"RW,LW,ST",74,8000000.0,71,72,54,82.0,63.333333333333336,74.4,67.0
"LW,RW,RM",75,7000000.0,78,75,76,79.0,64.33333333333333,77.0,60.0
"LWB,LB",75,,74,60,75,79.0,57.833333333333336,70.4,76.5
"LM,ST",75,10000000.0,74,74,69,83.5,71.16666666666667,69.4,77.0
"ST,RM",75,6500000.0,71,75,59,74.5,73.33333333333333,73.6,72.0
"RM,ST",74,8500000.0,73,71,76,77.5,59.666666666666664,80.4,46.5
"RW,RM",74,5500000.0,71,70,67,87.0,62.333333333333336,76.4,70.0
"ST,RW",74,5500000.0,72,70,61,67.5,76.0,72.8,59.0
"ST,LM",74,10000000.0,64,73,76,86.0,66.0,70.8,73.5
ST,74,6500000.0,72,81,71,58.5,72.16666666666667,65.2,73.0
ST,74,6500000.0,64,77,74,69.0,68.83333333333333,70.2,70.0
"RW,RM,CAM",74,7000000.0,80,68,82,79.0,62.833333333333336,77.2,52.0
"CM,CAM,ST",74,5500000.0,73,73,71,55.5,69.66666666666667,69.8,87.0
"CF,CAM,ST",74,7500000.0,78,72,78,59.5,74.0,74.6,73.0
"RM,RW",74,7500000.0,71,66,72,82.5,63.166666666666664,76.8,67.0
"RW,CAM,RM",74,5500000.0,71,71,70,82.5,69.83333333333333,79.6,60.5
ST,74,7500000.0,67,71,74,80.0,72.33333333333333,70.6,80.0
ST,74,6000000.0,61,79,68,72.5,69.83333333333333,71.2,83.5
ST,74,7500000.0,64,78,58,92.0,66.83333333333333,78.0,69.0
ST,74,6000000.0,67,77,65,79.5,75.83333333333333,66.8,69.5
ST,74,7000000.0,60,75,69,75.0,70.33333333333333,68.6,78.0
"ST,RM",74,5500000.0,69,83,73,63.0,73.16666666666667,70.2,72.5
ST,74,5500000.0,71,78,73,45.0,72.0,69.8,77.0
"LB,LWB",74,4300000.0,73,64,66,67.0,47.666666666666664,67.0,81.0
"LB,LWB,CDM",74,4400000.0,71,59,68,76.0,52.333333333333336,75.2,71.5
"RM,RB,RW",74,4400000.0,76,71,82,69.0,67.16666666666667,75.6,68.5
"LM,LW",74,7500000.0,73,74,73,78.5,65.16666666666667,70.6,68.5
"RM,RW",74,7000000.0,72,70,72,83.5,65.16666666666667,79.2,49.0
"RW,RM",74,,71,74,67,87.5,71.0,76.8,68.5
"RB,RWB,LB",74,4100000.0,63,51,67,71.5,52.0,62.0,82.5
"RM,RW",74,4900000.0,73,74,73,83.5,65.66666666666667,73.0,73.0
"LM,RM,ST,LB",74,6000000.0,67,73,74,84.0,68.83333333333333,75.8,70.0
ST,74,6500000.0,70,74,66,71.0,71.16666666666667,67.8,75.5
"CAM,CF",74,7000000.0,70,77,72,84.5,71.5,74.0,64.5
"ST,CF",74,8500000.0,68,77,71,78.0,71.5,72.4,70.0
ST,74,7500000.0,70,73,71,77.5,69.33333333333333,70.2,74.5
"CF,CAM",74,7500000.0,75,78,63,76.5,69.5,73.6,64.5
ST,74,7000000.0,59,70,76,90.0,69.16666666666667,72.0,82.5
ST,74,3500000.0,66,75,71,74.5,72.33333333333333,71.0,78.0
ST,74,7000000.0,68,74,63,79.5,64.33333333333333,71.8,69.5
ST,74,7500000.0,67,75,71,66.0,71.83333333333333,63.0,79.5
ST,74,6000000.0,62,76,67,75.0,72.5,70.2,71.5
"RW,LW,RM",74,5500000.0,69,72,65,94.0,62.833333333333336,77.2,69.5
"LW,CAM",74,9000000.0,71,72,65,77.0,59.5,74.6,62.0
"CAM,ST",73,2000000.0,76,68,76,82.0,67.33333333333333,74.8,58.5
"RB,CB,RWB,RM",73,4500000.0,73,62,68,71.5,65.5,71.8,73.0
"ST,LW",73,6000000.0,64,73,65,70.5,70.0,67.4,74.0
"ST,CF",73,5000000.0,74,68,68,88.0,67.33333333333333,78.8,67.0
"RM,LM,RW",73,5500000.0,68,63,67,86.5,67.33333333333333,73.6,71.5
ST,73,5500000.0,66,73,67,87.0,67.5,73.2,76.0
ST,73,5500000.0,73,78,68,47.0,70.16666666666667,62.6,78.5
ST,73,3200000.0,57,79,77,62.0,70.83333333333333,53.6,69.5
"ST,CAM",73,4300000.0,68,73,70,76.5,71.66666666666667,73.6,73.5
"LW,RW",73,4200000.0,69,73,70,92.5,64.0,80.6,53.5
"ST,LW,RW",73,4100000.0,69,76,70,70.0,68.5,68.2,72.0
"CAM,CM,LW",73,6000000.0,69,64,68,77.5,64.0,75.2,60.0
"CAM,RW,ST",73,4000000.0,65,73,56,82.5,63.5,75.6,66.0
"ST,RW",73,3900000.0,66,71,68,92.0,66.33333333333333,77.4,72.0
ST,73,4700000.0,59,71,65,63.5,72.0,64.8,78.0
"RM,LM,RW",73,4700000.0,71,69,66,74.5,67.0,71.2,69.0
ST,73,4000000.0,74,71,70,80.0,70.0,71.2,83.0
ST,73,5000000.0,73,73,70,67.0,70.0,61.0,73.5
"ST,CAM,RW,LW",73,5500000.0,68,72,62,88.0,66.0,78.8,68.5
ST,73,3200000.0,70,74,78,70.5,69.16666666666667,74.8,71.0
"ST,CF",73,9000000.0,68,76,64,83.0,64.0,68.8,72.0
ST,73,5000000.0,62,74,71,74.5,72.5,69.0,65.5
ST,73,4400000.0,69,72,71,69.5,72.66666666666667,69.0,72.0
ST,73,4800000.0,62,81,74,67.0,71.5,65.0,72.5
ST,73,3900000.0,72,75,79,66.0,72.5,69.0,71.0
ST,73,2500000.0,65,84,78,63.0,71.83333333333333,71.2,62.5
"RB,LB,RWB",73,3200000.0,69,59,61,79.0,46.666666666666664,68.4,76.5
ST,73,3600000.0,66,70,67,76.0,72.33333333333333,67.8,74.0
ST,73,2100000.0,64,75,73,57.0,72.83333333333333,66.6,63.5
"CAM,ST",73,3100000.0,72,74,72,65.0,73.66666666666667,70.0,73.5
"RM,LM,ST",73,5500000.0,72,73,63,88.0,68.83333333333333,73.2,58.0
"ST,RM,LM",73,5500000.0,68,72,63,79.5,65.66666666666667,69.6,70.5
RW,73,4000000.0,74,65,62,78.0,69.0,75.0,59.0
"ST,CF",73,4700000.0,72,78,74,84.0,66.66666666666667,81.0,62.0
LW,73,3100000.0,66,78,79,75.5,66.66666666666667,78.4,67.0
"ST,CAM",73,5500000.0,78,72,71,68.5,70.83333333333333,67.8,73.5
"ST,CAM,CF",73,4100000.0,72,71,71,79.5,70.0,80.8,68.0
ST,73,3900000.0,65,78,72,63.5,69.16666666666667,70.0,79.0
"RB,LB,RWB",73,3000000.0,71,72,69,76.5,59.833333333333336,70.4,73.5
ST,73,1800000.0,59,73,70,58.5,78.16666666666667,66.4,56.0
LW,73,4000000.0,74,68,71,87.5,65.0,75.2,68.5
"LB,CM,LWB",73,3300000.0,72,71,72,76.0,62.0,74.6,74.0
"RW,CAM",73,2000000.0,75,70,73,73.0,67.0,80.8,53.0
ST,72,3800000.0,70,75,74,68.5,70.0,69.8,73.0
"CAM,CF",72,2400000.0,74,74,72,63.0,70.83333333333333,69.0,64.0
"LW,ST",72,2700000.0,70,74,75,68.5,68.16666666666667,69.0,74.5
"RW,LW",72,4800000.0,74,69,73,81.0,59.833333333333336,75.2,62.0
"LB,LWB",72,2200000.0,66,65,57,66.0,54.0,66.2,79.0
"RW,CAM",72,4400000.0,72,65,73,78.5,65.83333333333333,72.2,57.0
"ST,CAM",72,3300000.0,70,73,66,85.5,65.5,78.6,63.5
"CAM,RW,LW",72,1000000.0,75,64,73,55.0,63.666666666666664,74.6,50.0
ST,72,4300000.0,63,75,73,65.0,67.0,61.6,86.5
"RM,LM,RW,RWB",72,3300000.0,67,70,57,78.5,58.0,77.0,56.5
"RW,LW,LM",72,3900000.0,75,71,79,68.0,68.83333333333333,71.8,60.5
"LW,LM,RM,RW",72,5000000.0,68,65,70,86.0,63.0,79.6,50.5
ST,72,3700000.0,45,77,76,47.5,78.33333333333333,56.2,73.0
ST,72,4000000.0,74,65,62,74.0,69.5,70.8,64.5
"ST,LW,RW",72,5500000.0,65,74,73,79.0,61.166666666666664,75.4,66.0
"LM,LW",72,4200000.0,67,67,64,78.5,66.66666666666667,74.0,63.5
"ST,RW,LW",72,3300000.0,70,71,64,70.5,69.16666666666667,71.2,68.5
ST,72,4000000.0,61,72,68,49.5,67.66666666666667,62.4,69.5
ST,72,4600000.0,65,70,68,61.5,70.83333333333333,65.4,81.0
ST,72,3200000.0,58,73,71,71.0,71.33333333333333,69.4,71.0
"RW,LW,ST",72,3300000.0,69,68,64,86.5,67.16666666666667,74.6,57.5
ST,72,900000.0,68,82,80,39.5,74.83333333333333,70.8,48.0
ST,72,3600000.0,63,77,70,79.0,66.0,66.6,75.5
ST,72,6500000.0,59,72,68,77.0,66.33333333333333,71.8,71.0
ST,72,3000000.0,60,75,65,73.0,68.83333333333333,62.0,77.0
"ST,LM",72,4100000.0,66,65,72,78.0,70.83333333333333,74.8,67.5
"RM,LM,ST",72,3100000.0,68,65,64,83.0,69.83333333333333,70.2,72.0
ST,72,4200000.0,58,75,69,55.5,68.0,59.4,79.0
ST,72,1600000.0,70,75,76,62.0,73.0,68.4,61.5
"CAM,CF,RW,RM",72,,78,68,77,31.0,68.0,73.2,55.0
"LM,CF,CAM",72,4300000.0,69,67,64,83.5,61.666666666666664,76.0,66.5
"ST,RW,CF",72,5500000.0,68,69,57,77.0,70.83333333333333,72.0,61.5
ST,72,1400000.0,60,78,56,64.5,70.16666666666667,65.4,69.5
"ST,CAM,CF",72,3200000.0,70,81,62,78.5,65.5,74.8,66.5
ST,72,2800000.0,65,70,73,76.5,68.66666666666667,72.6,70.0
"ST,LW",72,4600000.0,65,72,63,68.0,66.33333333333333,66.4,77.0
"CF,ST,CAM,LM",72,4300000.0,69,69,68,81.5,60.333333333333336,75.6,68.5
ST,72,2500000.0,70,70,62,69.5,68.83333333333333,70.6,67.0
ST,72,2000000.0,68,78,76,56.5,68.16666666666667,61.8,75.5
"LM,LW",72,3300000.0,68,68,66,81.5,55.166666666666664,75.0,63.5
"LB,LWB",72,4100000.0,73,51,63,70.0,47.833333333333336,68.6,67.0
ST,72,3400000.0,62,74,70,81.5,67.5,79.8,54.0
ST,72,3000000.0,54,74,75,63.5,72.16666666666667,57.4,80.5
ST,72,1600000.0,64,79,76,43.0,73.0,64.6,71.0
ST,72,3600000.0,55,73,69,70.5,68.16666666666667,62.4,81.5
"RM,ST",72,4400000.0,63,71,73,89.5,69.16666666666667,70.4,77.0
"ST,RM,LM,CAM",72,4200000.0,68,67,62,78.0,68.0,73.8,69.0
LW,72,4400000.0,73,66,76,81.0,62.333333333333336,72.4,57.0
"LM,LW,CAM",72,4300000.0,68,60,67,90.0,52.0,75.6,53.0
"ST,LM",72,4100000.0,64,72,61,79.0,71.0,68.2,75.0
"LB,LWB",72,875000.0,72,61,65,74.0,48.833333333333336,62.0,71.0
"ST,RW,LW",72,3200000.0,67,80,68,68.5,70.33333333333333,62.4,80.0
"ST,CAM",72,3400000.0,69,72,65,76.0,71.83333333333333,75.0,65.5
"LM,LW",72,3700000.0,70,74,66,77.5,66.66666666666667,70.8,74.0
"RM,RW,ST,CAM",72,3300000.0,70,72,70,80.5,60.166666666666664,74.6,57.0
ST,72,3200000.0,73,78,77,65.0,69.0,70.2,65.0
"LW,CM,CAM",72,3900000.0,68,64,73,88.5,65.5,77.6,62.0
"LW,LM",72,3100000.0,68,70,73,80.0,65.16666666666667,73.6,72.0
"RM,LM,CAM,ST",72,1600000.0,70,66,69,72.0,69.0,73.0,62.0
"LW,LM",72,3700000.0,69,73,70,86.0,68.0,72.0,77.5
"LW,ST,RW",72,5500000.0,70,69,65,83.5,62.0,77.0,54.5
ST,72,3300000.0,58,76,69,73.0,70.83333333333333,71.0,75.5
"LM,LWB,LB,LW",71,3300000.0,66,64,58,91.0,59.166666666666664,69.6,66.5
ST,71,3100000.0,64,74,57,83.0,66.83333333333333,67.6,73.5
"LW,LM,CF",71,3100000.0,67,64,61,84.5,72.66666666666667,70.2,70.5
"CAM,CM,RWB",71,3500000.0,74,65,63,75.0,60.166666666666664,65.2,71.5
"RW,RM",71,2500000.0,67,67,66,75.5,63.166666666666664,77.6,66.0
"ST,RW",71,2500000.0,63,77,64,79.5,63.666666666666664,69.4,69.5
"CAM,CF,CM,RM",71,1800000.0,70,72,77,66.0,65.66666666666667,71.6,50.5
RW,71,5000000.0,77,58,71,78.0,48.0,74.4,53.0
"RM,RW",71,3700000.0,72,69,62,72.0,67.16666666666667,67.0,71.5
